SMILES,Formula,formula1,mz,Ref
C=CC(C)OC(F)(F)C(F)F,C6H8F4O,C6H8F4O1,171.0438478,EPA_Dashboard
CC=CCOC(F)(F)C(F)F,C6H8F4O,C6H8F4O1,171.0438478,EPA_Dashboard
C=C(C)COC(F)(F)C(F)F,C6H8F4O,C6H8F4O1,171.0438478,EPA_Dashboard
C=CCOCC(F)(F)C(F)F,C6H8F4O,C6H8F4O1,171.0438478,EPA_Dashboard
N#CC(F)(C(=O)F)C(F)(F)F,C4F5NO,C4F5N1O1,171.9827247,EPA_Dashboard
CCN(CC)C(F)(F)C(F)F,C6H11F4N,C6H11F4N1,172.0754822,EPA_Dashboard
COC1=C(F)C(F)(F)C1(F)F,C5H3F5O,C5H3F5O1,173.0031258,EPA_Dashboard
C=CC(=O)C(F)(F)C(F)(F)F,C5H3F5O,C5H3F5O1,173.0031258,EPA_Dashboard
CCOC(=O)C(F)C(F)(F)F,C5H6F4O2,C5H6F4O2,173.0231123,EPA_Dashboard
FC1(F)COCOCC1(F)F,C5H6F4O2,C5H6F4O2,173.0231123,EPA_Dashboard
CCOC(=O)C(F)(F)C(F)F,C5H6F4O2,C5H6F4O2,173.0231123,EPA_Dashboard
CC(=O)OCC(F)(F)C(F)F,C5H6F4O2,C5H6F4O2,173.0231123,EPA_Dashboard
C=CCCC(F)(F)C(F)(F)F,C6H7F5,C6H7F5,173.0395113,EPA_Dashboard
CC(C)OCC(F)(F)C(F)F,C6H10F4O,C6H10F4O1,173.0594978,EPA_Dashboard
CC(C)(C)OC(F)(F)C(F)F,C6H10F4O,C6H10F4O1,173.0594978,EPA_Dashboard
CC(C)COC(F)(F)C(F)F,C6H10F4O,C6H10F4O1,173.0594978,EPA_Dashboard
CCCCOC(F)(F)C(F)F,C6H10F4O,C6H10F4O1,173.0594978,EPA_Dashboard
ON=C1C(F)C(F)(F)C1(F)F,C4H2F5NO,C4H2F5N1O1,173.9983748,EPA_Dashboard
COC(F)(C(N)=O)C(F)(F)F,C4H5F4NO2,C4H5F4N1O2,174.0183613,EPA_Dashboard
COC(F)(F)C(F)(F)C(N)=O,C4H5F4NO2,C4H5F4N1O2,174.0183613,EPA_Dashboard
O=NC(F)(F)C(F)(F)[N+](=O)[O-],C2F4N2O3,C2F4N2O3,174.9772247,EPA_Dashboard
O=C(O)C1(F)C(F)(F)C1(F)F,C4HF5O2,C4H1F5O2,174.9823904,EPA_Dashboard
FC1(F)CC(CCl)C1(F)F,C5H5ClF4,C5H5Cl1F4,174.9943107,EPA_Dashboard
FC1=CC(F)(F)C(F)C1(F)F,C5H2F6,C5H2F6,174.9987894,EPA_Dashboard
COC(F)(C(=O)O)C(F)(F)F,C4H4F4O3,C4H4F4O3,175.0023769,EPA_Dashboard
CC(=O)CC(F)(F)C(F)(F)F,C5H5F5O,C5H5F5O1,175.0187759,EPA_Dashboard
C=CCOC(F)(F)C(F)(F)F,C5H5F5O,C5H5F5O1,175.0187759,EPA_Dashboard
CCC(=O)C(F)(F)C(F)(F)F,C5H5F5O,C5H5F5O1,175.0187759,EPA_Dashboard
CC(C=O)C(F)(F)C(F)(F)F,C5H5F5O,C5H5F5O1,175.0187759,EPA_Dashboard
OCCOCC(F)(F)C(F)F,C5H8F4O2,C5H8F4O2,175.0387624,EPA_Dashboard
COCCOC(F)(F)C(F)F,C5H8F4O2,C5H8F4O2,175.0387624,EPA_Dashboard
CCCCC(F)(F)C(F)(F)F,C6H9F5,C6H9F5,175.0551614,EPA_Dashboard
CC(C)(C)C(F)(F)C(F)(F)F,C6H9F5,C6H9F5,175.0551614,EPA_Dashboard
N#CC(C(F)(F)F)C(F)(F)F,C4HF6N,C4H1F6N1,175.9940384,EPA_Dashboard
FC(=C(S)S)C(F)(F)F,C3H2F4S2,C3H2F4S2,176.9461249,EPA_Dashboard
FC1=C(Cl)C(F)(F)C1(F)F,C4ClF5,C4Cl1F5,176.9535888,EPA_Dashboard
O=CCC(F)(F)C(F)(F)Cl,C4H3ClF4O,C4H3Cl1F4O1,176.9735753,EPA_Dashboard
O=C1C(F)(F)C(F)(F)C1(F)F,C4F6O,C4F6O1,176.9780539,EPA_Dashboard
FC1=C(F)C(F)(F)OC1(F)F,C4F6O,C4F6O1,176.9780539,EPA_Dashboard
O=C=C(C(F)(F)F)C(F)(F)F,C4F6O,C4F6O1,176.9780539,EPA_Dashboard
[N-]=[N+]=C(C(F)(F)F)C(F)(F)F,C3F6N2,C3F6N2,176.9892873,EPA_Dashboard
FC(F)(F)C1(C(F)(F)F)N=N1,C3F6N2,C3F6N2,176.9892873,EPA_Dashboard
OC1(O)C(F)C(F)(F)C1(F)F,C4H3F5O2,C4H3F5O2,176.9980404,EPA_Dashboard
O=C(OCC(F)F)C(F)(F)F,C4H3F5O2,C4H3F5O2,176.9980404,EPA_Dashboard
O=C(O)C(F)(C(F)F)C(F)F,C4H3F5O2,C4H3F5O2,176.9980404,EPA_Dashboard
COC(F)(F)C(F)(F)C(=O)F,C4H3F5O2,C4H3F5O2,176.9980404,EPA_Dashboard
NNC(=O)C(F)(F)C(F)(F)F,C3H3F5N2O,C3H3F5N2O1,177.0092738,EPA_Dashboard
N=C(NO)C(F)(F)C(F)(F)F,C3H3F5N2O,C3H3F5N2O1,177.0092738,EPA_Dashboard
FC1(F)CCC(F)(F)C1(F)F,C5H4F6,C5H4F6,177.0144394,EPA_Dashboard
FC(c1ccccc1)C(F)(F)F,C8H6F4,C8H6F4,177.0332831,EPA_Dashboard
CC(C)(O)C(F)(F)C(F)(F)F,C5H7F5O,C5H7F5O1,177.0344259,EPA_Dashboard
NC(=O)C(F)(Cl)C(F)(F)F,C3H2ClF4NO,C3H2Cl1F4N1O1,177.9688242,EPA_Dashboard
CN=C(C(F)(F)F)C(F)(F)F,C4H3F6N,C4H3F6N1,178.0096884,EPA_Dashboard
O=C(O)C(F)(F)C(F)(F)Cl,C3HClF4O2,C3H1Cl1F4O2,178.9528398,EPA_Dashboard
O=C(O)C(F)(Cl)C(F)(F)F,C3HClF4O2,C3H1Cl1F4O2,178.9528398,EPA_Dashboard
O=C(OO)C(F)(F)C(F)(F)F,C3HF5O3,C3H1F5O3,178.977305,EPA_Dashboard
O=CC(C(F)(F)F)C(F)(F)F,C4H2F6O,C4H2F6O1,178.993704,EPA_Dashboard
FC(F)(F)C1(C(F)(F)F)CO1,C4H2F6O,C4H2F6O1,178.993704,EPA_Dashboard
OC(O)(O)C(O)(F)C(F)(F)F,C3H4F4O4,C3H4F4O4,178.9972915,EPA_Dashboard
OCCOC(F)(F)C(F)(F)F,C4H5F5O2,C4H5F5O2,179.0136905,EPA_Dashboard
COC(O)C(F)(F)C(F)(F)F,C4H5F5O2,C4H5F5O2,179.0136905,EPA_Dashboard
